onset	duration	trial_type	amplitude
7	9	LThumb	1
16	9	LIndex	1
34	9	LMid	1
43	9	Feet	1
52	9	LRing	1
61	9	Lips	1
70	9	LLit	1
79	9	RLit	1
88	9	RThumb	1
97	9	RRing	1
106	9	RIndex	1
115	9	RMid	1
124	9	LIndex	1
133	9	LMid	1
142	9	LThumb	1
151	9	LRing	1
178	9	LLit	1
187	9	Feet	1
196	9	RThumb	1
205	9	Lips	1
214	9	RIndex	1
223	9	RLit	1
232	9	RMid	1
241	9	RRing	1
250	9	LMid	1
259	9	LRing	1
268	9	LIndex	1
277	9	LLit	1
286	9	LThumb	1
295	9	RThumb	1
322	9	RIndex	1
331	9	Feet	1
340	9	RMid	1
349	9	Lips	1
358	9	RRing	1
367	9	RLit	1
376	9	LRing	1
385	9	LLit	1
394	9	LMid	1
403	9	RThumb	1
412	9	LIndex	1
421	9	RIndex	1
430	9	LThumb	1
439	9	RMid	1
457	9	RRing	1
466	9	Lips	1
475	9	RLit	1
484	9	Feet	1
