onset	duration	trial_type	amplitude
7	9	RRing	1
16	9	RLit	1
25	9	RMid	1
34	9	Lips	1
43	9	RIndex	1
52	9	Feet	1
61	9	RThumb	1
79	9	LLit	1
88	9	LThumb	1
97	9	LRing	1
106	9	LIndex	1
115	9	LMid	1
124	9	RLit	1
133	9	Lips	1
142	9	RRing	1
151	9	Feet	1
160	9	RMid	1
187	9	RIndex	1
196	9	LThumb	1
205	9	RThumb	1
214	9	LIndex	1
223	9	LLit	1
232	9	LMid	1
241	9	LRing	1
250	9	Lips	1
259	9	Feet	1
268	9	RLit	1
286	9	RRing	1
295	9	LThumb	1
304	9	RMid	1
313	9	LIndex	1
322	9	RIndex	1
331	9	LMid	1
340	9	RThumb	1
349	9	LRing	1
358	9	LLit	1
367	9	Feet	1
394	9	Lips	1
403	9	LThumb	1
412	9	RLit	1
421	9	LIndex	1
430	9	RRing	1
439	9	LMid	1
448	9	RMid	1
457	9	LRing	1
466	9	RIndex	1
475	9	LLit	1
484	9	RThumb	1
