onset	duration	trial_type	amplitude
6.0	12.0	LeftHand	1
30.0	12.0	RightHand	1
54.0	12.0	LeftArm	1
78.0	12.0	RightArm	1
102.0	12.0	Lips	1
126.0	12.0	Feet	1
150.0	12.0	Feet	1
174.0	12.0	Lips	1
198.0	12.0	RightArm	1
222.0	12.0	LeftArm	1
246.0	12.0	RightHand	1
270.0	12.0	LeftHand	1
294.0	12.0	LeftHand	1
318.0	12.0	LeftArm	1
342.0	12.0	Lips	1
366.0	12.0	RightHand	1
390.0	12.0	RightHand	1
414.0	12.0	RightArm	1
438.0	12.0	RightArm	1
462.0	12.0	Feet	1
486.0	12.0	LeftHand	1
510.0	12.0	Lips	1
534.0	12.0	LeftArm	1
558.0	12.0	Feet	1
