onset	duration	trial_type	amplitude
19.01861495	10	RightHand	1
29.02549696	10	LeftHand	1
39.01573769	10	Lips	1
49.02304698	10	RightFoot	1
69.01970177	10	ImagineRightHand	1
79.02653854	10	LeftHand	1
89.01679067	10	ImagineRightHand	1
99.02372932	10	RightFoot	1
109.0304695	10	Lips	1
119.0207848	10	RightHand	1
159.031613	10	RightFoot	1
179.0287882	10	RightHand	1
189.0189586	10	ImagineRightHand	1
199.0258946	10	LeftHand	1
209.016062	10	Lips	1
219.0229025	10	ImagineRightHand	1
249.027078	10	RightHand	1
259.0171222	10	Lips	1
269.0240083	10	LeftHand	1
279.0310147	10	RightFoot	1
