onset	duration	trial_type	amplitude
7	9	RMid	1
16	9	RIndex	1
25	9	RRing	1
34	9	RThumb	1
43	9	LLit	1
52	9	RLit	1
61	9	Lips	1
70	9	LRing	1
79	9	Feet	1
88	9	LMid	1
115	9	LIndex	1
124	9	LThumb	1
133	9	RMid	1
142	9	LThumb	1
151	9	Feet	1
160	9	LIndex	1
169	9	Lips	1
178	9	LMid	1
187	9	RLit	1
196	9	LRing	1
205	9	RRing	1
214	9	LLit	1
232	9	RThumb	1
241	9	RIndex	1
250	9	Lips	1
259	9	LThumb	1
268	9	Feet	1
277	9	RRing	1
304	9	RMid	1
313	9	RLit	1
322	9	RIndex	1
331	9	LIndex	1
340	9	RThumb	1
349	9	LMid	1
358	9	LRing	1
367	9	LLit	1
376	9	RRing	1
385	9	LIndex	1
394	9	RMid	1
412	9	LRing	1
421	9	LMid	1
430	9	LLit	1
439	9	Lips	1
448	9	RThumb	1
457	9	RLit	1
466	9	RIndex	1
475	9	Feet	1
484	9	LThumb	1
