onset	duration	trial_type	amplitude
7	9	LLit	1
16	9	RThumb	1
25	9	LRing	1
34	9	RIndex	1
43	9	LMid	1
52	9	RMid	1
61	9	LIndex	1
70	9	RRing	1
79	9	LThumb	1
88	9	RLit	1
115	9	Feet	1
124	9	Lips	1
133	9	RThumb	1
142	9	RIndex	1
151	9	LLit	1
160	9	RMid	1
169	9	LRing	1
178	9	RRing	1
187	9	LMid	1
196	9	RLit	1
205	9	LIndex	1
214	9	Lips	1
223	9	LThumb	1
232	9	Feet	1
259	9	RIndex	1
268	9	RMid	1
277	9	RThumb	1
286	9	RRing	1
295	9	LLit	1
304	9	RLit	1
313	9	LRing	1
322	9	Lips	1
331	9	LMid	1
340	9	Feet	1
349	9	LIndex	1
367	9	LThumb	1
376	9	RMid	1
385	9	RRing	1
394	9	RIndex	1
403	9	RLit	1
412	9	RThumb	1
421	9	Lips	1
430	9	LLit	1
439	9	Feet	1
448	9	LRing	1
466	9	LMid	1
475	9	LThumb	1
484	9	LIndex	1
