onset	duration	trial_type	amplitude
9.002512709	10	RightFoot	1
19.02594743	10	ImagineRightHand	1
29.01634059	10	Lips	1
49.02999513	10	LeftHand	1
59.02020659	10	RightHand	1
89.02426076	10	LeftHand	1
109.0212907	10	ImagineRightHand	1
119.0282488	10	RightFoot	1
129.0183949	10	Lips	1
139.0252617	10	RightHand	1
169.0293261	10	LeftHand	1
179.019901	10	RightFoot	1
189.0263314	10	Lips	1
199.016555	10	RightHand	1
209.0234598	10	ImagineRightHand	1
239.0274121	10	RightHand	1
259.0245748	10	Lips	1
269.0313975	10	ImagineRightHand	1
279.0215751	10	RightFoot	1
289.0285362	10	LeftHand	1
