onset	duration	trial_type	amplitude
25.5	12.0	LeftHand	1
49.5	12.0	RightHand	1
73.5	12.0	LeftElbow	1
97.5	12.0	RightElbow	1
121.5	12.0	Lips	1
145.5	12.0	Feet	1
169.5	12.0	Feet	1
193.5	12.0	Lips	1
217.5	12.0	RightElbow	1
241.5	12.0	LeftElbow	1
265.5	12.0	RightHand	1
289.5	12.0	LeftHand	1
313.5	12.0	LeftHand	1
337.5	12.0	Feet	1
361.5	12.0	LeftElbow	1
385.5	12.0	Lips	1
409.5	12.0	RightHand	1
433.5	12.0	RightHand	1
457.5	12.0	RightElbow	1
481.5	12.0	RightElbow	1
505.5	12.0	LeftHand	1
529.5	12.0	Lips	1
553.5	12.0	LeftElbow	1
577.5	12.0	Feet	1
